# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-02-19 04:36:13 EST       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 07374000 Mississippi River at Baton Rouge, LA
# -----------------------------------------------------------------------------------
#
# Data provided for site 07374000
#            TS   parameter     Description
#         62512       00010     Temperature, water, degrees Celsius
#         62515       00400     pH, water, unfiltered, field, standard units
#         62516       63680     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU)
#         62518       00300     Dissolved oxygen, water, unfiltered, milligrams per liter
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd,site_no,datetime,tz_cd,62512_00010,62512_00010_cd,62515_00400,62515_00400_cd,62516_63680,62516_63680_cd,62518_00300,62518_00300_cd
5s,15s,20d,6s,14n,10s,14n,10s,14n,10s,14n,10s
USGS,07374000,2014-10-01 00:00,CDT,23.5,A,7.8,A,170,A,6.8,A
USGS,07374000,2014-10-01 01:00,CDT,23.4,A,7.8,A,180,A,6.8,A
USGS,07374000,2014-10-01 02:00,CDT,23.4,A,7.8,A,170,A,6.8,A
USGS,07374000,2014-10-01 03:00,CDT,23.4,A,7.8,A,160,A,6.8,A
USGS,07374000,2014-10-01 04:00,CDT,23.4,A,7.8,A,170,A,6.8,A
USGS,07374000,2014-10-01 05:00,CDT,23.4,A,7.8,A,160,A,6.8,A
USGS,07374000,2014-10-01 06:00,CDT,23.4,A,7.8,A,150,A,6.8,A
USGS,07374000,2014-10-01 07:00,CDT,23.4,A,7.8,A,170,A,6.8,A
USGS,07374000,2014-10-01 08:00,CDT,23.4,A,7.8,A,160,A,6.8,A
USGS,07374000,2014-10-01 09:00,CDT,23.4,A,7.8,A,150,A,6.8,A
USGS,07374000,2014-10-01 10:00,CDT,23.4,A,7.8,A,160,A,6.8,A
USGS,07374000,2014-10-01 11:00,CDT,23.4,A,7.8,A,170,A,6.8,A
USGS,07374000,2014-10-01 12:00,CDT,23.4,A,7.8,A,150,A,6.8,A
USGS,07374000,2014-10-01 13:00,CDT,23.4,A,7.8,A,160,A,6.8,A
USGS,07374000,2014-10-01 14:00,CDT,23.5,A,7.8,A,150,A,6.8,A
USGS,07374000,2014-10-01 15:00,CDT,23.5,A,7.8,A,150,A,6.9,A
USGS,07374000,2014-10-01 17:00,CDT,23.5,A,7.8,A,150,A,6.9,A
USGS,07374000,2014-10-01 18:00,CDT,23.5,A,7.8,A,150,A,6.9,A
USGS,07374000,2014-10-01 19:00,CDT,23.5,A,7.8,A,180,A,6.9,A
USGS,07374000,2014-10-01 20:00,CDT,23.5,A,7.8,A,150,A,6.9,A
USGS,07374000,2014-10-01 21:00,CDT,23.5,A,7.8,A,140,A,6.9,A
USGS,07374000,2014-10-01 22:00,CDT,23.5,A,7.8,A,160,A,6.9,A
USGS,07374000,2014-10-01 23:00,CDT,23.5,A,7.8,A,140,A,6.9,A
USGS,07374000,2014-10-02 00:00,CDT,23.5,A,7.8,A,150,A,6.9,A
USGS,07374000,2014-10-02 01:00,CDT,23.5,A,7.8,A,140,A,6.9,A
USGS,07374000,2014-10-02 02:00,CDT,23.5,A,7.8,A,130,A,6.9,A
USGS,07374000,2014-10-02 03:00,CDT,23.5,A,7.8,A,140,A,6.9,A
USGS,07374000,2014-10-02 04:00,CDT,23.5,A,7.8,A,140,A,6.9,A
USGS,07374000,2014-10-02 05:00,CDT,23.5,A,7.8,A,140,A,6.9,A
USGS,07374000,2014-10-02 06:00,CDT,23.5,A,7.8,A,130,A,6.9,A
USGS,07374000,2014-10-02 07:00,CDT,23.5,A,7.8,A,130,A,6.9,A
USGS,07374000,2014-10-02 08:00,CDT,23.5,A,7.8,A,130,A,6.9,A
USGS,07374000,2014-10-02 09:00,CDT,23.5,A,7.8,A,140,A,6.9,A
USGS,07374000,2014-10-02 10:00,CDT,23.6,A,7.8,A,130,A,6.9,A
USGS,07374000,2014-10-02 11:00,CDT,23.6,A,7.8,A,130,A,6.9,A
USGS,07374000,2014-10-02 12:00,CDT,23.7,A,7.8,A,140,A,6.9,A
USGS,07374000,2014-10-02 13:00,CDT,23.7,A,7.8,A,120,A,6.9,A
USGS,07374000,2014-10-02 14:00,CDT,23.8,A,7.8,A,120,A,7.0,A
USGS,07374000,2014-10-02 15:00,CDT,23.8,A,7.8,A,120,A,7.0,A
USGS,07374000,2014-10-02 16:00,CDT,23.8,A,7.9,A,120,A,7.0,A
USGS,07374000,2014-10-02 17:00,CDT,23.9,A,7.9,A,130,A,7.0,A
USGS,07374000,2014-10-02 18:00,CDT,23.8,A,7.9,A,120,A,7.0,A
USGS,07374000,2014-10-02 19:00,CDT,23.8,A,7.8,A,130,A,7.0,A
USGS,07374000,2014-10-02 20:00,CDT,23.8,A,7.9,A,120,A,7.0,A
USGS,07374000,2014-10-02 21:00,CDT,23.8,A,7.9,A,110,A,7.0,A
USGS,07374000,2014-10-02 22:00,CDT,23.8,A,7.9,A,110,A,7.0,A
USGS,07374000,2014-10-02 23:00,CDT,23.8,A,7.9,A,120,A,7.0,A
USGS,07374000,2014-10-03 00:00,CDT,23.8,A,7.9,A,110,A,7.0,A
USGS,07374000,2014-10-03 01:00,CDT,23.8,A,7.9,A,100,A,7.0,A
USGS,07374000,2014-10-03 02:00,CDT,23.8,A,7.9,A,110,A,7.0,A
USGS,07374000,2014-10-03 03:00,CDT,23.8,A,7.9,A,120,A,7.0,A
USGS,07374000,2014-10-03 04:00,CDT,23.8,A,7.9,A,110,A,7.0,A
USGS,07374000,2014-10-03 05:00,CDT,23.8,A,7.9,A,98.0,A,7.1,A
USGS,07374000,2014-10-03 06:00,CDT,23.8,A,7.9,A,110,A,7.1,A
USGS,07374000,2014-10-03 07:00,CDT,23.8,A,7.9,A,100,A,7.0,A
USGS,07374000,2014-10-03 08:00,CDT,23.8,A,7.9,A,110,A,7.0,A
USGS,07374000,2014-10-03 09:00,CDT,23.8,A,7.9,A,110,A,7.0,A
USGS,07374000,2014-10-03 10:00,CDT,23.9,A,7.9,A,110,A,7.0,A
USGS,07374000,2014-10-03 11:00,CDT,23.9,A,7.9,A,,,7.0,A
USGS,07374000,2014-10-03 12:00,CDT,23.9,A,7.9,A,99.0,A,7.0,A
USGS,07374000,2014-10-03 13:00,CDT,23.9,A,7.9,A,98.0,A,7.0,A
USGS,07374000,2014-10-03 14:00,CDT,23.9,A,7.9,A,110,A,7.1,A
USGS,07374000,2014-10-03 15:00,CDT,24.0,A,7.9,A,99.0,A,7.1,A
USGS,07374000,2014-10-03 16:00,CDT,23.9,A,7.9,A,110,A,7.1,A
USGS,07374000,2014-10-03 17:00,CDT,23.9,A,7.9,A,120,A,7.1,A
USGS,07374000,2014-10-03 18:00,CDT,23.9,A,7.9,A,100,A,7.1,A
USGS,07374000,2014-10-03 19:00,CDT,23.9,A,7.9,A,110,A,7.1,A
USGS,07374000,2014-10-03 20:00,CDT,23.8,A,7.9,A,95.0,A,7.1,A
USGS,07374000,2014-10-03 21:00,CDT,23.8,A,7.9,A,93.0,A,7.1,A
USGS,07374000,2014-10-03 22:00,CDT,23.8,A,7.9,A,96.0,A,7.1,A
USGS,07374000,2014-10-03 23:00,CDT,23.7,A,7.9,A,100,A,7.1,A
USGS,07374000,2014-10-04 00:00,CDT,23.7,A,7.9,A,100,A,7.1,A
USGS,07374000,2014-10-04 01:00,CDT,23.7,A,7.9,A,100,A,7.1,A
USGS,07374000,2014-10-04 02:00,CDT,23.7,A,7.9,A,94.0,A,7.1,A
USGS,07374000,2014-10-04 03:00,CDT,23.6,A,7.9,A,91.0,A,7.1,A
USGS,07374000,2014-10-04 04:00,CDT,23.6,A,7.9,A,92.0,A,7.1,A
USGS,07374000,2014-10-04 05:00,CDT,23.5,A,7.9,A,100,A,7.1,A
USGS,07374000,2014-10-04 06:00,CDT,23.5,A,7.9,A,84.0,A,7.1,A
USGS,07374000,2014-10-04 07:00,CDT,23.4,A,7.9,A,92.0,A,7.2,A
USGS,07374000,2014-10-04 08:00,CDT,23.4,A,7.9,A,98.0,A,7.2,A
USGS,07374000,2014-10-04 09:00,CDT,23.4,A,7.9,A,90.0,A,7.2,A
USGS,07374000,2014-10-04 10:00,CDT,23.4,A,7.9,A,83.0,A,7.2,A
USGS,07374000,2014-10-04 11:00,CDT,23.5,A,7.9,A,98.0,A,7.2,A
USGS,07374000,2014-10-04 12:00,CDT,23.6,A,7.9,A,87.0,A,7.2,A
USGS,07374000,2014-10-04 13:00,CDT,23.6,A,7.9,A,86.0,A,7.2,A
USGS,07374000,2014-10-04 14:00,CDT,23.7,A,7.9,A,93.0,A,7.2,A
USGS,07374000,2014-10-04 15:00,CDT,23.7,A,7.9,A,94.0,A,7.2,A
USGS,07374000,2014-10-04 16:00,CDT,23.7,A,7.9,A,87.0,A,7.2,A
USGS,07374000,2014-10-04 17:00,CDT,23.7,A,7.9,A,85.0,A,7.2,A
USGS,07374000,2014-10-04 18:00,CDT,23.6,A,7.9,A,91.0,A,7.2,A
USGS,07374000,2014-10-04 19:00,CDT,23.6,A,7.9,A,82.0,A,7.2,A
USGS,07374000,2014-10-04 20:00,CDT,23.6,A,7.9,A,85.0,A,7.2,A
USGS,07374000,2014-10-04 21:00,CDT,23.5,A,7.9,A,77.0,A,7.2,A
USGS,07374000,2014-10-04 22:00,CDT,23.5,A,7.9,A,77.0,A,7.2,A
